File Name,Extracted Number
"I.24.0004 SJM Resorts,S.A. (GRE30 Aluminum Umbrella).xls",No valid merged cell found or non-numeric value
"I.24.0005 SJM Resorts,S.A. (Delivery Charge).xls",No valid merged cell found or non-numeric value
I.24.0006 Gateway Hong Kong (Buru Umbrella Cover).xls,No valid merged cell found or non-numeric value
I.24.0007 The Hong Kong Golf Club (Umbrella Cover).xls,No valid merged cell found or non-numeric value
I.24.0008 The Hong Kong Country Club (ICE27 Umbrella & Cover).xls,No valid merged cell found or non-numeric value
I.24.0009 The Hong Kong Country Club (Replace Gliding Wagon for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0010 Mandarin Oriental Macau (GRE30 Umbrella Rib).xls,No valid merged cell found or non-numeric value
I.24.0011 Grand Hyatt Hong Kong (AUS30 Umbrella & Steel Base).xls,No valid merged cell found or non-numeric value
I.24.0012 The Hong Kong Club (Dismantle Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0013 Ocean Park Corporation (Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0014 Ocean Park Corporation (Logo Printing for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0015 Ocean Park Corporation (Logo Printing for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0016 Ocean Park Corporation (ICE27 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0017 Kerry Hotel Hong Kong (ICE25 Aluminum Umbrella & 80 kg Granite Base).xls,No valid merged cell found or non-numeric value
I.24.0018 JW Marriott Hotel Macau (Sun Lounger Cushion).xls,No valid merged cell found or non-numeric value
I.24.0019 Ms. Systke Kimman (Polystyrene Beads).xls,No valid merged cell found or non-numeric value
I.24.0020 Leigh Chiu Designs Ltd (Replace Canopy for Awnings).xls,No valid merged cell found or non-numeric value
I.24.0021 The Shek O Country Club (Luzon Chaise Lounge).xls,No valid merged cell found or non-numeric value
